2665724;;;;PRCTA_G1I72;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;31172;SAM - FATURADO ;65852 - PR - TLO - VIVO - SUBCONTRATACOES (TLSV);JJV - TELECOM;Atividade Pendente - Aguardando Aprovação (VIVO);Não se aplica; $2 466,00 ;01/02/2025;
2665730;;;;PRCTA_G1I73;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;31173;SAM - FATURADO ;65852 - PR - TLO - VIVO - SUBCONTRATACOES (TLSV);JJV - TELECOM;Atividade Concluida no campo ;Não se aplica; $2 689,66 ;01/03/2025;
2665743;;;;PRCTA_G1I79 ;OSP Regional;Cancelado;MANUTENÇÃO PREVENTIVA CTA;31174;SAM - PENDENTE MÃO DE OBRA;65852 - PR - TLO - VIVO - SUBCONTRATACOES (TLSV);FATURAMENTO OBERDAN;Atividade Concluida no campo ;Não se aplica; $4 121,17 ;01/04/2025;
2713793;;;;PRCTA_G1I85;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;31176;SAM - CONCLUIDO;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);FATURAMENTO OBERDAN;Atividade Concluida no campo ;CC OBERDAN; $1 303,60 ;01/04/2025;
2713777;;;;PRCTA_G1I87 ;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;31182;SAM - CONCLUIDO;65852 - PR - TLO - VIVO - SUBCONTRATACOES (TLSV);FATURAMENTO OBERDAN;Atividade Concluida no campo ;CC OBERDAN; $962,48 ;01/04/2025;
2665757;;;;PRCTA_G1M02;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;31184;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Marcos;Atividade Concluida no campo ;Não se aplica; $792,99 ;01/02/2025;
2665765;;;;PRCTA_G1M06;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;31191;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Marcos;Atividade Pendente - Aguardando Aprovação (VIVO);Não se aplica; $565,91 ;01/02/2025;
2665769;;;;PRCTA_G1M09;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;31194;SAM - FATURADO ;65852 - PR - TLO - VIVO - SUBCONTRATACOES (TLSV);EQUIPE TLSV - Miguel;Atividade Concluida no campo ;Não se aplica; $10 082,30 ;01/03/2025;
2665774;;;;PRCTA_G1M11;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;31195;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Marcos;Atividade Concluida no campo ;Não se aplica; $3 289,03 ;01/02/2025;
2665780;;;;PRCTA_G1M13;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;31200;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Marcos;Atividade Pendente - Aguardando Aprovação (VIVO);Não se aplica; $2 768,41 ;01/02/2025;
2665783;;;;PRCTA_G1M15;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;31202;SAM - FATURADO ;65852 - PR - TLO - VIVO - SUBCONTRATACOES (TLSV);JJV - TELECOM;Atividade Concluida no campo ;Não se aplica; $2 284,02 ;01/03/2025;
2665788;;;;PRCTA_G1M90;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;31203;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Marcos;Atividade Concluida no campo ;Não se aplica; $2 128,29 ;01/02/2025;
2665791;;;;PRCTA_G1M98;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;31201;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Marcos;Atividade Concluida no campo ;Não se aplica; $3 836,75 ;01/03/2025;
2665260;;;;PRCTA_G1I81;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;31192;SAM - CONCLUIDO;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Marcos;Atividade Concluida no campo ;Não se aplica; $8 049,88 ;01/02/2025;
2670043;;;;PRCTA_G1I39;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;31213;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);A.L TELECOM;Atividade Concluida no campo ;Não se aplica; $1 129,48 ;01/02/2025;
2674519;;;;PRCTA_G1I85;OSP Regional;Concluído;SOLDAS;31275;SAM - FATURADO ;65852 - PR - TLO - VIVO - SUBCONTRATACOES (TLSV);A.L TELECOM;Atividade Concluida no campo ;Não se aplica; $438,42 ;01/03/2025;
2676523;;;;PRCTA_G1M98;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;31293;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Marcos;Atividade Concluida no campo ;Não se aplica; $1 659,55 ;01/02/2025;
2676525;;;;PRCTA_G1I83;OSP Regional;Concluído;SOLDAS;31569;SAM - FATURADO ;65852 - PR - TLO - VIVO - SUBCONTRATACOES (TLSV);JJV - TELECOM;Atividade Concluida no campo ;Não se aplica; $6 527,12 ;01/03/2025;
2676715;;;;PRCTA_G1M09;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;31294;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Marcos;Atividade Concluida no campo ;Não se aplica; $352,02 ;01/02/2025;
2677645;;;;PRCTA_G1I65;OSP Regional;Concluído;EMERGENCIAL;31307;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Marcos;Atividade Concluida no campo ;Não se aplica; $8 950,17 ;01/02/2025;
2677439;;;;"	PRCTA_G1I85";OSP Regional;Concluído;SOLDAS;31684;SAM - FATURADO ;65852 - PR - TLO - VIVO - SUBCONTRATACOES (TLSV);EQUIPE TLSV - Cleyton;Atividade Concluida no campo ;Não se aplica; $8 643,58 ;01/03/2025;
2684156;;;;PRSJP_G1I06;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;31629;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Marcos;Atividade Concluida no campo ;Não se aplica; $2 121,57 ;01/03/2025;
2684166;;;;PRSJP_O1A06;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;31630;SAM - FATURADO ;65852 - PR - TLO - VIVO - SUBCONTRATACOES (TLSV);AMX - ENGENHARIA;Atividade Concluida no campo ;Não se aplica; $1 191,01 ;01/04/2025;
2684170;;;;PRSJP_O1A10;OSP Regional;Cancelado;MANUTENÇÃO PREVENTIVA CTA;31631;SAM - PENDENTE MÃO DE OBRA;65852 - PR - TLO - VIVO - SUBCONTRATACOES (TLSV);AMX - ENGENHARIA;Atividade Pendente Execução- TLSV;Não se aplica; $1 076,89 ;01/04/2025;
2684174;;;;PRSJP_O1A13;OSP Regional;Cancelado;MANUTENÇÃO PREVENTIVA CTA;31632;SAM - PENDENTE MÃO DE OBRA;65852 - PR - TLO - VIVO - SUBCONTRATACOES (TLSV);AMX - ENGENHARIA;Atividade Pendente Execução- TLSV;Não se aplica; $1 076,89 ;01/04/2025;
2684175;;;;PRSJP_O1A22;OSP Regional;Cancelado;MANUTENÇÃO PREVENTIVA CTA;31633;SAM - PENDENTE MÃO DE OBRA;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);AMX - ENGENHARIA;Atividade Pendente Execução- TLSV;Não se aplica; $227,68 ;01/04/2025;
2684177;;;;PRSJP_O1A35;OSP Regional;Cancelado;MANUTENÇÃO PREVENTIVA CTA;31634;SAM - PENDENTE MÃO DE OBRA;65852 - PR - TLO - VIVO - SUBCONTRATACOES (TLSV);AMX - ENGENHARIA;Atividade Pendente Execução- TLSV;Não se aplica; $1 076,89 ;01/04/2025;
2684186;;;;PRPGO_O1V03;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;31636;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV PGO;Atividade Concluida no campo ;Não se aplica; $221,09 ;01/04/2025;
2684189;;;;PRFZR_O1A01;OSP Regional;Cancelado;MANUTENÇÃO PREVENTIVA CTA;31637;CANCELADO ;#N/D;;Cancelado;Não se aplica; $201,08 ;;
